rundate,report_period,airport_name,this_year_pax,this_year_total_pax,Five_years_prev_pax,Five_years_prev_pax_total
20/03/2023 09:14,2022,HEATHROW,61596618,221778105,77987524,284570179
20/03/2023 09:14,2022,GATWICK,32831088,221778105,45553837,284570179
20/03/2023 09:14,2022,MANCHESTER,23340418,221778105,27773303,284570179
20/03/2023 09:14,2022,STANSTED,23289652,221778105,25902618,284570179
20/03/2023 09:14,2022,LUTON,13322236,221778105,15989225,284570179
20/03/2023 09:14,2022,EDINBURGH,11248549,221778105,13409295,284570179
20/03/2023 09:14,2022,BIRMINGHAM,9595557,221778105,12982180,284570179
20/03/2023 09:14,2022,BRISTOL,7945038,221778105,8233387,284570179
20/03/2023 09:14,2022,GLASGOW,6516029,221778105,9894845,284570179
20/03/2023 09:14,2022,BELFAST INTERNATIONAL,4818214,221778105,5836735,284570179
20/03/2023 09:14,2022,NEWCASTLE,4127035,221778105,5297952,284570179
20/03/2023 09:14,2022,LIVERPOOL (JOHN LENNON),3490655,221778105,4896603,284570179
20/03/2023 09:14,2022,LEEDS BRADFORD,3287968,221778105,4074500,284570179
20/03/2023 09:14,2022,EAST MIDLANDS INTERNATIONAL,3186367,221778105,4877545,284570179
20/03/2023 09:14,2022,LONDON CITY,3009313,221778105,4530439,284570179
20/03/2023 09:14,2022,ABERDEEN,1959883,221778105,3090272,284570179
20/03/2023 09:14,2022,BELFAST CITY (GEORGE BEST),1655156,221778105,2559846,284570179
20/03/2023 09:14,2022,DONCASTER SHEFFIELD,959321,221778105,1335590,284570179
20/03/2023 09:14,2022,CARDIFF WALES,857397,221778105,1464180,284570179
20/03/2023 09:14,2022,BOURNEMOUTH,734344,221778105,693977,284570179
20/03/2023 09:14,2022,INVERNESS,699982,221778105,874486,284570179
20/03/2023 09:14,2022,SOUTHAMPTON,631329,221778105,2069605,284570179
20/03/2023 09:14,2022,PRESTWICK,444433,221778105,695669,284570179
20/03/2023 09:14,2022,EXETER,382198,221778105,908260,284570179
20/03/2023 09:14,2022,NORWICH,319040,221778105,528153,284570179
20/03/2023 09:14,2022,SUMBURGH,246390,221778105,256393,284570179
20/03/2023 09:14,2022,NEWQUAY,244674,221778105,459924,284570179
20/03/2023 09:14,2022,TEESSIDE INTERNATIONAL AIRPORT,173006,221778105,128007,284570179
20/03/2023 09:14,2022,CITY OF DERRY (EGLINTON),163379,221778105,193981,284570179
20/03/2023 09:14,2022,KIRKWALL,123055,221778105,164484,284570179
20/03/2023 09:14,2022,STORNOWAY,101121,221778105,132009,284570179
20/03/2023 09:14,2022,HUMBERSIDE,92280,221778105,190490,284570179
20/03/2023 09:14,2022,SOUTHEND,89361,221778105,1091616,284570179
20/03/2023 09:14,2022,ISLES OF SCILLY (ST.MARYS),86846,221778105,91852,284570179
20/03/2023 09:14,2022,LANDS END (ST JUST),63629,221778105,58834,284570179
20/03/2023 09:14,2022,DUNDEE,36882,221778105,21327,284570179
20/03/2023 09:14,2022,BENBECULA,30230,221778105,33258,284570179
20/03/2023 09:14,2022,ISLAY,26148,221778105,32392,284570179
20/03/2023 09:14,2022,BARRA,13102,221778105,14913,284570179
20/03/2023 09:14,2022,TIREE,10982,221778105,12137,284570179
20/03/2023 09:14,2022,BLACKPOOL,9428,221778105,23391,284570179
20/03/2023 09:14,2022,WICK JOHN O GROATS,6935,221778105,17672,284570179
20/03/2023 09:14,2022,CAMPBELTOWN,5812,221778105,8726,284570179
20/03/2023 09:14,2022,BIGGIN HILL,4002,221778105,1318,284570179
20/03/2023 09:14,2022,LERWICK (TINGWALL),2886,221778105,4139,284570179
20/03/2023 09:14,2022,OXFORD (KIDLINGTON),120,221778105,90,284570179
20/03/2023 09:14,2022,GLOUCESTERSHIRE,0,221778105,1488,284570179
20/03/2023 09:14,2022,LYDD,0,221778105,865,284570179
20/03/2023 09:14,2022,SCATSTA,0,221778105,170847,284570179
